Type_of_House,Property_Type,Price,Brokerage,Location,Furnish,Area_in_sqft,Bathrooms
2 BHK,Flat,44000,44000,Osman Nagar,Semi Furnished,1399,2
3 BHK,Flat,65000,65000,Nanakaramguda,Fully Furnished,1650,2
4 BHK,Flat,150000,150000.0,Madhapur,Fully Furnished,3300,4
3 BHK,Flat,63000,63000,Kokapet,Semi Furnished,1390,3
3 BHK,Flat,45000,45000,Kukatpally,Semi Furnished,1800,3
3 BHK,Flat,70000,70000,Kondapur,Semi Furnished,1855,3
4 BHK,Villa,120000,120000.0,Madhapur,Fully Furnished,3000,4
3 BHK,Flat,55000,55000,Banjara Hills,Fully Furnished,2500,4
4 BHK,Villa,210000,210000.0,Kokapet,Fully Furnished,4000,4
3 BHK,Flat,75000,75000,Kokapet,Fully Furnished,1964,3
2 BHK,Flat,29000,16000,Hafeezpet,Semi Furnished,1200,2
1 BHK,Flat,18000,10000,Kondapur,Semi Furnished,754,1
3 BHK,Villa,110000,110000.00000000001,Kokapet,Fully Furnished,2800,3
1 BHK,Flat,15000,10000,Hafeezpet,Semi Furnished,751,1
1 BHK,Flat,17500,9500,Hafeezpet,Semi Furnished,658,1
1 BHK,Flat,15000,7500,Kondapur,Unfurnished,682,1
2 BHK,Flat,30000,18000,Kondapur,Semi Furnished,1234,1
2 BHK,Flat,36000,21000,Kondapur,Fully Furnished,1200,1
1 BHK,Flat,21000,14000,Kondapur,Semi Furnished,753,1
3 BHK,Flat,37000,24000,Kondapur,Semi Furnished,1856,2
2 BHK,Flat,38000,16000,Kondapur,Fully Furnished,1200,2
1 BHK,Flat,19000,12000,Kondapur,Semi Furnished,700,1
1 BHK,Flat,15000,8000,Kondapur,Unfurnished,700,1
1 BHK,Flat,14500,9000,Kondapur,Unfurnished,654,1
1 BHK,Flat,17000,11000,Kondapur,Semi Furnished,654,1
2 BHK,Flat,21000,13500,Kondapur,Semi Furnished,1200,1
1 BHK,Flat,16000,10500,Kondapur,Unfurnished,654,1
1 BHK,Flat,13000,8000,Kondapur,Unfurnished,654,1
1 BHK,Flat,24500,15000,Kondapur,Fully Furnished,650,1
3 BHK,Flat,37000,25000,Kondapur,Semi Furnished,1750,2
1 BHK,Flat,14000,10000,Hafeezpet,Unfurnished,650,1
3 BHK,Flat,35000,23000,Kondapur,Semi Furnished,1850,3
1 BHK,Flat,19000,11000,Kondapur,Semi Furnished,650,1
3 BHK,Flat,49000,24500,Kondapur,Fully Furnished,1950,2
3 BHK,Flat,37000,18500,Kondapur,Semi Furnished,1800,2
2 BHK,Flat,27000,17500,Kondapur,Semi Furnished,1350,1
1 BHK,Flat,15000,10000,Kondapur,Unfurnished,650,1
2 BHK,Flat,40000,22000,Kondapur,Fully Furnished,1400,1
2 BHK,Flat,25000,18500,Kondapur,Semi Furnished,1200,1
2 BHK,Flat,28000,14000,Kondapur,Semi Furnished,1200,1
2 BHK,Flat,30000,18500,Kondapur,Semi Furnished,1250,1
2 BHK,Flat,40000,27000,Kondapur,Fully Furnished,1250,1
1 BHK,Flat,14000,9000,Kondapur,Unfurnished,850,1
1 BHK,Flat,16500,12000,Kondapur,Unfurnished,750,1
2 BHK,Flat,29000,20000,Kondapur,Semi Furnished,1250,1
3 BHK,Flat,37000,25000,Kondapur,Semi Furnished,2000,2
2 BHK,Flat,38000,24000,Kondapur,Fully Furnished,1350,1
3 BHK,Flat,41000,24000,Kondapur,Semi Furnished,2300,3
3 BHK,Flat,52000,28000,Kondapur,Fully Furnished,2000,2
2 BHK,Flat,29000,20000,Kondapur,Semi Furnished,1300,1
3 BHK,Flat,32000,20000,Kondapur,Semi Furnished,1800,2
3 BHK,Flat,34000,22000,Kondapur,Semi Furnished,1750,2
3 BHK,Flat,34000,23000,Kondapur,Semi Furnished,1850,2
3 BHK,Flat,45000,35000,Kondapur,Fully Furnished,1800,2
3 BHK,Flat,40000,25000,Kondapur,Semi Furnished,2200,2
3 BHK,Flat,38000,24000,Kondapur,Semi Furnished,2000,2
2 BHK,Flat,28000,18000,Kondapur,Semi Furnished,1250,1
1 BHK,Flat,15000,12000,Kondapur,Semi Furnished,750,1
1 BHK,Flat,15000,10000,Kondapur,Semi Furnished,700,1
